timestep,n_tumour,n_tumour_hypoxic,n_tumour_necrotic,mean_tumour_oxygen,median_tumour_oxygen,mean_tumour_radius,median_tumour_radius,n_tcells,n_tumour_damage_gt100,n_tumour_damage_gt80,n_tumour_damage_gt60,n_tumour_damage_gt40,n_tumour_damage_gt20,n_tumour_damage_gt10,n_tumour_damage_gt0,n_tcells_potency_le90,n_tcells_potency_le80,n_tcells_potency_le70,n_tcells_potency_le60,n_tcells_potency_le50,n_tcells_potency_le40,n_tcells_potency_le30,n_tcells_potency_le20,n_tcells_potency_le10
9600,37.0,0.0,0.0,0.7354645790402774,0.7351921413077545,0.43831673101050717,0.4374135067398254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10200,46.0,0.0,0.0,0.7181017270300345,0.7165713034278582,0.42573010046398196,0.42347329961609803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10800,57.0,0.0,0.0,0.698888995458841,0.6968002022639854,0.4258099585467537,0.4242589440493922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11400,64.0,0.0,0.0,0.6774459166844751,0.6746120029119373,0.4247487442758129,0.4261718819860131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12000,70.0,0.0,0.0,0.657473421675317,0.6552963774415332,0.4201247620184038,0.41566720836604387,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12600,75.0,0.0,0.0,0.6370225622439791,0.635099952572788,0.4196462189440518,0.40805013302222737,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13200,99.0,0.0,0.0,0.6177101215763288,0.617656151483686,0.405721875659085,0.3930505727183649,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13800,114.0,0.0,0.0,0.5939885623487635,0.5946777501850664,0.4076247868249297,0.39741657467864067,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14400,128.0,0.0,0.0,0.5708273297755169,0.5691779251669258,0.4038738123308514,0.38885383829916936,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,142.0,0.0,0.0,0.5481948032080507,0.5460551030276755,0.4024834416207911,0.38775139144090764,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15600,167.0,0.0,0.0,0.5255593294470393,0.5232401130795001,0.3958878723446401,0.3831633398716884,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16200,193.0,0.0,0.0,0.504447354984586,0.49875984899394804,0.39299384498988194,0.38119619451099085,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16800,234.0,0.0,0.0,0.48082503404990656,0.4746183560876213,0.39014936257851995,0.3763910581966663,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17400,265.0,0.0,0.0,0.4552864283766065,0.4490847738194471,0.3873167874718597,0.3716637678233858,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18000,302.0,0.0,0.0,0.43128780113944537,0.42388554347395974,0.382539157524236,0.3674271997805103,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18600,353.0,0.0,0.0,0.409653385815568,0.4044086601182731,0.37948891332059215,0.3650449753555927,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19200,420.0,0.0,0.0,0.3883029683245689,0.381994695351881,0.3775002571617411,0.36671261443623615,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19800,489.0,0.0,0.0,0.3645753144981951,0.35389373821115516,0.37479921089513085,0.36343646348088027,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20400,549.0,0.0,0.0,0.34233311726379906,0.33226124619404374,0.37459424724226487,0.3634408454313363,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,629.0,0.0,0.0,0.32321245788255343,0.3128099211842104,0.37290206770944145,0.362762847862927,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21600,734.0,62.0,0.0,0.3040314144275704,0.2923349187780373,0.37187596560312147,0.3629529039544381,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200,847.0,158.0,0.0,0.2866390734253375,0.27111698080979363,0.37111836337396725,0.36264069487362144,51.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22800,950.0,259.0,0.0,0.2700838272189802,0.2555734535428449,0.3715073726424607,0.36339990647469167,57.0,1.0,2.0,3.0,15.0,26.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23400,1039.0,358.0,0.0,0.25545621539642344,0.23946829401606848,0.3705873028411642,0.363310131365209,62.0,1.0,2.0,4.0,17.0,42.0,42.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
24000,1142.0,453.0,0.0,0.24325737604680084,0.2264587140493297,0.3700884648644648,0.3636124359477288,75.0,1.0,3.0,6.0,28.0,52.0,63.0,63.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24600,1252.0,549.0,0.0,0.2335901397575665,0.2160440776661074,0.37043621118932407,0.36456872554778863,83.0,2.0,5.0,14.0,55.0,79.0,99.0,99.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0
25200,1356.0,650.0,0.0,0.22332972024012265,0.206438437459801,0.3703352042463431,0.3638220621993479,87.0,10.0,15.0,29.0,77.0,106.0,123.0,131.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0
25800,1451.0,745.0,0.0,0.21406353364150202,0.19599297510135508,0.36970949502428585,0.3640501104746432,104.0,15.0,23.0,42.0,106.0,140.0,156.0,175.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0
26400,1543.0,845.0,0.0,0.20521008713781536,0.18673177972918403,0.3699898083728671,0.36488028562940106,119.0,19.0,30.0,49.0,146.0,185.0,207.0,236.0,8.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0
27000,1651.0,938.0,0.0,0.19799304702011566,0.17981507981145092,0.36932468824493336,0.36444145070105793,132.0,32.0,53.0,76.0,203.0,242.0,279.0,311.0,13.0,9.0,6.0,6.0,5.0,5.0,3.0,1.0,1.0
