188.025	51.7391	50.3896		17.4417	780	AccumulatedDamageKiller	
203.925	50.4238	50.0982		27.7167	212	AccumulatedDamageKiller	
205.142	50.5821	50.4774		46.1917	617	AccumulatedDamageKiller	
205.758	51.018	49.4011		27.1667	506	AccumulatedDamageKiller	
205.983	50.2175	49.575		35.4667	490	AccumulatedDamageKiller	
206.1	48.8333	49.888		54.775	385	AccumulatedDamageKiller	
206.208	50.1792	49.1438		35.6917	778	AccumulatedDamageKiller	
206.742	48.4402	48.9226		47.0667	635	AccumulatedDamageKiller	
207.575	49.0202	51.1744		42.5	715	AccumulatedDamageKiller	
207.983	49.2431	49.9401		56.8083	525	AccumulatedDamageKiller	
210.642	50.3903	51.3669		31.4917	964	AccumulatedDamageKiller	
212.183	47.134	50.1786		48.525	695	AccumulatedDamageKiller	
212.908	48.2859	50.4239		44.5	317	AccumulatedDamageKiller	
213.642	50.918	50.1445		36.6417	913	AccumulatedDamageKiller	
214.108	49.2367	49.5443		51.675	673	AccumulatedDamageKiller	
217.067	50.4802	49.4076		45.825	477	AccumulatedDamageKiller	
218.183	49.2749	49.167		57.2	316	AccumulatedDamageKiller	
219.117	50.1074	47.201		36.2167	395	AccumulatedDamageKiller	
219.342	49.819	47.4927		46.975	498	AccumulatedDamageKiller	
220.208	49.6416	48.3539		48.9	793	AccumulatedDamageKiller	
221.683	49.605	49.7644		46.8333	863	AccumulatedDamageKiller	
221.933	48.8655	49.1801		68.9583	537	AccumulatedDamageKiller	
222.967	51.6216	50.7991		62.7167	382	AccumulatedDamageKiller	
223.167	47.563	50.3983		63.975	444	AccumulatedDamageKiller	
223.217	49.9023	51.2011		44.0667	407	AccumulatedDamageKiller	
223.358	49.1307	50.445		64.0667	313	AccumulatedDamageKiller	
223.45	51.2879	50.1584		46.45	243	AccumulatedDamageKiller	
224.25	49.5376	50.2785		67.075	593	AccumulatedDamageKiller	
224.317	52.37	50.2089		56.1833	753	AccumulatedDamageKiller	
224.375	47.9268	48.238		46.7417	932	AccumulatedDamageKiller	
224.7	48.2272	47.8607		64.5	644	AccumulatedDamageKiller	
224.858	49.2758	48.8072		63.875	655	AccumulatedDamageKiller	
225.242	49.8141	49.4095		50.3917	254	AccumulatedDamageKiller	
225.4	50.722	51.4017		48.4583	912	AccumulatedDamageKiller	
226.083	48.7179	48.6807		65.2083	654	AccumulatedDamageKiller	
226.408	52.0245	51.548		57.5417	763	AccumulatedDamageKiller	
226.692	51.202	51.9692		49.1833	928	AccumulatedDamageKiller	
226.75	48.1983	46.5781		43.0917	410	AccumulatedDamageKiller	
227.083	50.1548	49.0843		55.6167	356	AccumulatedDamageKiller	
227.092	51.1905	51.0299		60.5667	733	AccumulatedDamageKiller	
227.175	49.0462	47.6649		52.9917	555	AccumulatedDamageKiller	
227.208	46.7301	48.5025		48.35	651	AccumulatedDamageKiller	
227.6	53.157	47.8221		40.4417	453	AccumulatedDamageKiller	
